Adams	297	78	45	76	299	222	32	74.24749163879598	15.050167224080269	10.702341137123746
Asotin	250	89	47	62	277	197	33	71.11913357400722	16.967509025270758	11.913357400722022
Benton	2496	438	276	412	2522	1940	306	76.92307692307693	10.943695479777954	12.133227597145122
Chelan	997	188	126	183	1002	764	112	76.24750499001996	12.574850299401197	11.177644710578843
Clallam	819	442	332	223	1038	568	138	54.72061657032755	31.984585741811177	13.294797687861271
Clark	5870	1194	740	1397	5667	4592	335	81.03052761602258	13.058055408505382	5.911416975472031
Columbia	46	12	5	16	42	32	5	76.19047619047619	11.904761904761903	11.904761904761903
Cowlitz	1308	236	179	242	1302	1016	107	78.03379416282642	13.748079877112135	8.218125960061444
Douglas	554	85	67	86	553	413	73	74.68354430379746	12.115732368896925	13.200723327305605
Ferry	88	8	8	14	82	72	2	87.8048780487805	9.75609756097561	2.4390243902439024
Franklin	1115	186	214	186	1115	786	115	70.4932735426009	19.192825112107624	10.31390134529148
Garfield	29	7	0	9	27	27	0	100.0	0.0	0.0
Grant	1390	266	273	269	1387	965	149	69.57462148521991	19.682768565248736	10.742609949531362
Grays Harbor	839	115	129	132	822	569	124	69.2214111922141	15.693430656934307	15.085158150851582
Island	684	177	68	183	678	528	82	77.87610619469027	10.029498525073747	12.094395280235988
Jefferson	210	58	23	53	215	172	20	80.0	10.69767441860465	9.30232558139535
King	19755	3393	2297	3595	19553	15527	1729	79.4098092364343	11.747557919500844	8.842632844064848
Kitsap	2923	548	270	467	3004	2433	301	80.99201065246339	8.988015978695072	10.019973368841544
Kittitas	428	66	79	60	434	318	37	73.27188940092167	18.202764976958523	8.525345622119817
Klickitat	266	203	45	204	265	208	12	78.49056603773586	16.9811320754717	4.528301886792453
Lewis	980	161	129	206	935	727	79	77.75401069518718	13.796791443850267	8.449197860962567
Lincoln	173	49	14	45	177	153	10	86.4406779661017	7.909604519774012	5.649717514124294
Mason	631	115	87	123	623	416	120	66.77367576243981	13.964686998394862	19.26163723916533
Okanogan	501	95	77	84	512	388	47	75.78125	15.0390625	9.1796875
Pacific	209	62	33	57	214	164	17	76.63551401869158	15.42056074766355	7.943925233644859
Pend Oreille	144	41	17	39	146	121	8	82.87671232876713	11.643835616438356	5.47945205479452
Pierce	9775	1800	1493	2268	9307	6986	828	75.06178145481896	16.041689051251744	8.8965294939293
San Juan	117	27	17	26	118	98	3	83.05084745762711	14.40677966101695	2.5423728813559325
Skagit	1457	248	233	251	1454	1035	186	71.18294360385144	16.024759284731775	12.792297111416781
Skamania	110	40	25	34	116	78	13	67.24137931034483	21.551724137931032	11.206896551724139
Snohomish	8704	1318	1010	1494	8528	6628	890	77.72045028142588	11.843339587242026	10.436210131332082
Spokane	5770	898	666	896	5772	4663	443	80.7865557865558	11.538461538461538	7.674982674982675
Stevens	499	215	99	152	562	357	106	63.52313167259786	17.615658362989322	18.86120996441281
Thurston	3130	596	389	722	3004	2407	208	80.12649800266311	12.949400798934754	6.92410119840213
Wahkiakum	40	4	4	4	40	30	6	75.0	10.0	15.0
Walla Walla	684	199	73	174	709	563	73	79.40761636107193	10.296191819464035	10.296191819464035
Whatcom	2071	339	303	407	2003	1481	219	73.93909136295557	15.127309036445332	10.933599600599102
Whitman	362	60	16	59	363	325	22	89.53168044077135	4.40771349862259	6.0606060606060606
Yakima	3735	610	657	657	3688	2560	471	69.41431670281996	17.814533622559654	12.771149674620391
